Email,Score
Email 320,0.001115
Email 321,0.000616
Email 322,0.000652
Email 323,0.000856
Email 324,0.000521
Email 325,0.000252
Email 326,0.000770
Email 327,0.000160
Email 328,0.001144
Email 329,0.000000
Email 330,0.000272
Email 331,0.000895
Email 332,0.000270
Email 333,0.000980
Email 334,0.000886
Email 335,0.000487
Email 336,0.000839
Email 337,0.000560
Email 338,0.000281
Email 339,0.001215
Email 340,0.000417
Email 341,0.000838
Email 342,0.000613
Email 343,0.000590
Email 344,0.000905
Email 345,0.000664
Email 346,0.000378
Email 347,0.001041
Email 348,0.000763
Email 349,0.000774
Email 350,0.000652
Email 351,0.001095
Email 352,0.000961
Email 353,0.001109
Email 354,0.000129
Email 355,0.001067
Email 356,0.001146
Email 357,0.000629
Email 358,0.001118
Email 359,0.000380
Email 360,0.000491
Email 361,0.001426
Email 362,0.000055
Email 363,0.001627
Email 364,0.001722
Email 365,0.001138
Email 366,0.002896
Email 367,0.001671
Email 368,0.000733
Email 369,0.000546
Email 370,0.000000
Email 371,0.000719
Email 372,0.000766
Email 373,0.000367
Email 374,0.000413
Email 375,0.001347
Email 376,0.000207
Email 377,0.000471
Email 378,0.000716
Email 379,0.000244
Email 380,0.000475
Email 381,0.000796
Email 382,0.000668
Email 383,0.001541
Email 384,0.001623
Email 385,0.000561
Email 386,0.000599
Email 387,0.001778
Email 388,0.000138
Email 389,0.000755
Email 390,0.000350
Email 391,0.000827
Email 392,0.000739
Email 393,0.000853
Email 394,0.000240
Email 395,0.000000
Email 396,0.000512
Email 397,0.000923
Email 398,0.000484
Email 399,0.000905
Email 400,0.000888
Email 401,0.000483
Email 402,0.001150
Email 403,0.000482
Email 404,0.001559
Email 405,0.000175
Email 406,0.000565
Email 407,0.001497
Email 408,0.001039
Email 409,0.000378
Email 410,0.000994
Email 411,0.000724
Email 412,0.001545
Email 413,0.000143
Email 414,0.000996
Email 415,0.000431
Email 416,0.001167
Email 417,0.000322
Email 418,0.000894
Email 419,0.000540
Email 420,0.000654
Email 421,0.001638
Email 422,0.000347
Email 423,0.000122
Email 424,0.000940
Email 425,0.000376
Email 426,0.000528
Email 427,0.000836
Email 428,0.000000
Email 429,0.000354
Email 430,0.000867
Email 431,0.000755
Email 432,0.000778
